base,spot_price,perp_price,openInterest,market_cap,fdv
OL,,0.02743,85864837.0,21374266,136964798
ICNT,,0.2748,13615910.0,45932170,192276757
BULLA,,0.04416,26312876.0,12268005,43814305
IDOL,,0.03302,43614456.0,29700980,157983937
M,,2.525,8105971.0,4285398431,13377471180
TANSSI,,0.02993,56309367.0,8924208,29817440
CROSS,,0.12669,8345491.0,42408167,124637959
AIN,,0.13204,31071188.0,24399547,131675917
VELVET,,0.24546,16614163.0,22381289,245365278
TAC,,0.005581,355426477.0,14267783,55716206
TA,,0.04526,75835343.0,8123462,45130343
ZORA,,0.07137,151172802.0,318227469,711918275
TAG,,0.0005121,4894463540.0,55424993,206386518
ZRC,,0.01384,39285146.0,30279688,137953276
ESPORTS,,0.2306,13504580.0,34821022,206448750
PLAY,,0.02507,70595150.0,11732437,11732437
NAORIS,,0.0489,71376296.0,29008799,193630802
ALL,,0.8458,1803518.0,1584662,1584662
IN,,0.12134,24489969.0,27838443,121920189
YALA,,0.1033,27034687.0,25537396,103658858
CARV,,0.1694,10240718.0,49939785,169078842
AIO,,0.16595,15574909.0,38183262,165833930
XNY,,0.00671,299661209.0,16791399,67165596
USELESS,,0.2285,35614287.0,227909949,227909949
DAM,,0.03759,67558591.0,7489150,37447304
CUDIS,,0.04133,40064597.0,10156917,41038049
SAPIEN,,0.1756,14758458.0,43775792,175103169
BAS,,0.01396,553999035.0,34728974,138915897
BTR,,0.06251,24729372.0,16303122,62320804
Q,,0.023636,303894564.0,38103062,235786275
ARIA,,0.16835,11448036.0,30745407,168007687
TAKE,,0.27039,36439371.0,43662730,269425381
PTB,,0.0303,75744367.0,62335221,158282576
FLOCK,,0.2595,9089369.0,62813099,258844407
XPIN,,0.007103,5042189905.0,109403184,707424407
UB,,0.07692,245644034.0,192362311,769449243
TOSHI,,0.0006934,3595374377.0,292297216,292297216
STBL,,0.09529,78102235.0,47538521,950770427
AIA,,1.201,8526773.0,118898534,1194960145
TRADOOR,,2.589,1325043.0,36975948,154614040
BLESS,,0.0441,203899174.0,80389855,436505970
FLUID,,4.323,416563.4,336321041,432548937
COAI,,1.554,13928701.0,302230075,1538228841
HANA,,0.03403,162453207.0,8139507,33914610
AKE,,0.0014354,1974005272.0,32645281,143204609
ORDER,,0.21484,12058930.0,71468928,215269200
LIGHT,,1.8929,12390285.0,80662434,786823148
XAN,,0.03411,91381341.0,85353137,341412550
VFY,,0.07009,28139156.0,21618365,70603458
TRUTH,,0.012986,167707741.0,27139483,130146331
EVAA,,8.98,2483602.2,59497633,449515599
LYN,,0.11657,26364081.0,24287244,116206908
KGEN,,0.24815,24138173.0,49203031,247652412
4,,0.09105,168985331.0,90804777,90804777
MON,,0.04495,100853749.0,10432186,17798299
MET,,0.4419,27924253.0,210528516,439681100
CLO,,0.3154,14042547.0,40660565,314954030
RECALL,,0.3451,13343111.0,226503301,345722504
LAB,,0.19428,44289967.0,14823348,193652556
RIVER,,7.303,1047391.7,142538164,727235530
RVV,,0.008998,750369326.0,14402713,89160407
币安人生,,0.22484,164464198.0,224829732,224829732
BLUAI,,0.02094,249153436.0,25572464,208244824
APR,,0.32116,15782971.0,14539.47,31024
ON,,0.1469,23459720.0,21098114,102364788
42,,0.10421,45471767.0,15390974,103876088
COMMON,,0.009864,612143824.0,23033252,98581553
KITE,,0.14958,78062734.0,788019,794512
AT,,0.3603,11295205.0,82628309,359253519
CC,,0.1336,31133483.0,0.0,731631
